"userId","routingStatus.startTime","routingStatus.endTime","routingStatus.routingStatus","primaryPresence.startTime","primaryPresence.endTime","primaryPresence.systemPresence","primaryPresence.organizationPresenceId"
,"2022-07-22T10:13:37.859Z","2022-07-25T02:38:55.054Z","OFF_QUEUE",,,,
,"2022-07-25T02:38:55.054Z","2022-07-25T02:45:56.790Z","IDLE",,,,
,"2022-07-25T02:45:56.790Z","2022-07-25T02:46:27.441Z","INTERACTING",,,,
,"2022-07-25T02:46:27.441Z","2022-07-25T02:51:11.505Z","IDLE",,,,
,"2022-07-25T02:51:11.505Z","2022-07-25T02:52:01.684Z","INTERACTING",,,,
,"2022-07-25T02:52:01.684Z","2022-07-25T02:54:42.490Z","IDLE",,,,
,"2022-07-25T02:54:42.490Z","2022-07-25T02:54:56.277Z","INTERACTING",,,,
,"2022-07-25T02:54:56.277Z","2022-07-25T02:56:22.884Z","IDLE",,,,
,"2022-07-25T02:56:22.884Z","2022-07-25T02:57:21.125Z","INTERACTING",,,,
,"2022-07-25T02:57:21.125Z","2022-07-25T03:34:50.555Z","IDLE",,,,
,"2022-07-25T03:34:50.555Z","2022-07-25T06:39:01.118Z","OFF_QUEUE",,,,
,"2022-07-25T06:39:01.118Z","2022-07-25T06:39:30.107Z","IDLE",,,,
,"2022-07-25T06:39:30.107Z","2022-07-25T06:40:33.700Z","INTERACTING",,,,
,"2022-07-25T06:40:33.700Z","2022-07-25T06:40:44.429Z","IDLE",,,,
,"2022-07-25T06:40:44.429Z","2022-07-25T06:43:03.116Z","OFF_QUEUE",,,,
,"2022-07-25T06:43:03.116Z","2022-07-25T06:43:17.317Z","IDLE",,,,
,"2022-07-25T06:43:17.317Z","2022-07-25T06:43:53.501Z","INTERACTING",,,,
,"2022-07-25T06:43:53.501Z","2022-07-25T06:46:57.393Z","IDLE",,,,
,"2022-07-25T06:46:57.393Z","2022-07-25T07:36:30.083Z","OFF_QUEUE",,,,
